Timestamp,E_plus_445LVU_HS--o-_Avg1,E_plus_445LVU_HS--u-_Avg1,E_plus_413TU_HSS-m-_Avg1
2023-08-12 21:00:00+00:00,-9.7239421347,-9.5072063783,23.6704311371
2023-08-12 21:10:00+00:00,-9.6900960867,-9.4916345203,23.67070961
2023-08-12 21:20:00+00:00,-9.6542729362,-9.4731616978,23.6706581116
2023-08-12 21:30:00+00:00,-9.6199372432,-9.4562964113,23.6695899963
2023-08-12 21:40:00+00:00,-9.6053954997,-9.4564534728,23.6680870056
2023-08-12 21:50:00+00:00,-9.5696093167,-9.4357448838,23.6660346985
2023-08-12 22:00:00+00:00,-9.5532013422,-9.4358326448,23.6633968353
2023-08-12 22:10:00+00:00,-9.5068645417,-9.4109989633,23.6602268219
2023-08-12 22:20:00+00:00,-9.4853614227,-9.4080887763,23.6568603516
2023-08-12 22:30:00+00:00,-9.4261227477,-9.3703070303,23.6528339386
2023-08-12 22:40:00+00:00,-9.3939027117,-9.3507579033,23.6482048035
2023-08-12 22:50:00+00:00,-9.3726213202,-9.3449837038,23.6427402496
2023-08-12 23:00:00+00:00,-9.3281137987,-9.3216097348,23.6366443634
2023-08-12 23:10:00+00:00,-9.2794857882,-9.2930851933,23.6296749115
2023-08-12 23:20:00+00:00,-9.2389278062,-9.2682007028,23.6220874786
2023-08-12 23:30:00+00:00,-9.1993445107,-9.2478570303,23.6138744354
2023-08-12 23:40:00+00:00,-9.1791209632,-9.2426972043,23.6052570343
2023-08-12 23:50:00+00:00,-9.1379855597,-9.2207598683,23.5961608887
2023-08-13 00:00:00+00:00,-9.0896393392,-9.1922768978,23.5867710114
2023-08-13 00:10:00+00:00,-9.0525504897,-9.1729356413,23.5769176483
2023-08-13 00:20:00+00:00,-9.0153646412,-9.1540239828,23.5670051575
2023-08-13 00:30:00+00:00,-8.9889372962,-9.1437181878,23.5569705963
2023-08-13 00:40:00+00:00,-8.9805392877,-9.1497464478,23.546705246
2023-08-13 00:50:00+00:00,-8.9214669122,-9.1122326193,23.5364379883
2023-08-13 01:00:00+00:00,-8.8903231962,-9.0982821543,23.5260257721
2023-08-13 01:10:00+00:00,-8.8559782497,-9.0809318418,23.5153980255
2023-08-13 01:20:00+00:00,-8.7989661032,-9.0439261498,23.504776001
2023-08-13 01:30:00+00:00,-8.7515899502,-9.0161268378,23.4940299988
2023-08-13 01:40:00+00:00,-8.7346923307,-9.0123204873,23.4832115173
2023-08-13 01:50:00+00:00,-8.6987075152,-8.9947761613,23.4722976685
2023-08-13 02:00:00+00:00,-8.6445455242,-8.9586619983,23.4610557556
2023-08-13 02:10:00+00:00,-8.6139515002,-8.9442634593,23.449848175
2023-08-13 02:20:00+00:00,-8.5857780337,-8.9310659533,23.4384651184
2023-08-13 02:30:00+00:00,-8.5355332492,-8.8952612943,23.4266624451
2023-08-13 02:40:00+00:00,-8.4874272322,-8.8629165298,23.4148139954
2023-08-13 02:50:00+00:00,-8.4705619457,-8.8600987228,23.402551651
2023-08-13 03:00:00+00:00,-8.4206867277,-8.8267654148,23.3898887634
2023-08-13 03:10:00+00:00,-8.4114526182,-8.8325396143,23.376657486
2023-08-13 03:20:00+00:00,-8.3530592977,-8.7916952388,23.3630027771
2023-08-13 03:30:00+00:00,-8.3017335897,-8.7572440553,23.348985672
2023-08-13 03:40:00+00:00,-8.2772879352,-8.7482409113,23.3348445892
2023-08-13 03:50:00+00:00,-8.2538954902,-8.7399815038,23.3207817078
2023-08-13 04:00:00+00:00,-8.2009899602,-8.7054471628,23.3069725037
